ticker,last_pitrading_date,first_iex_date,last_pitrading_close,first_iex_close,seam_ratio,nearest_canonical_factor,off_from_canonical_pct,direction,confidence
CMA,2022-03-04,2022-03-07,90.21,69.7431,0.773119,0.5,54.62,forward_split,investigate
KEY,2022-03-04,2022-03-07,23.22,17.9571,0.773346,0.5,54.67,forward_split,investigate
PSK,2022-03-04,2022-03-07,38.93,30.12,0.773696,0.5,54.74,forward_split,investigate
PGF,2022-03-04,2022-03-07,17.06,13.2024,0.773881,0.5,54.78,forward_split,investigate
PFF,2022-03-04,2022-03-07,35.86,27.7678,0.774339,0.5,54.87,forward_split,investigate
RKT,2022-03-04,2022-03-07,14.23,11.0431,0.776045,0.5,55.21,forward_split,investigate
FAS,2022-03-04,2022-03-07,108.28,84.0654,0.776371,0.5,55.27,forward_split,investigate
TFC,2022-03-04,2022-03-07,58.95,45.7707,0.776433,0.5,55.29,forward_split,investigate
DRI,2022-03-04,2022-03-07,132.08,102.9326,0.77932,0.5,55.86,forward_split,investigate
EMN,2022-03-04,2022-03-07,114.86,89.5374,0.779535,0.5,55.91,forward_split,investigate
O,2022-03-04,2022-03-07,66.82,52.3837,0.783953,0.5,56.79,forward_split,investigate
BX,2022-03-04,2022-03-07,121.1,95.128,0.785532,0.5,57.11,forward_split,investigate
RF,2022-03-04,2022-03-07,22.61,17.7647,0.785703,0.5,57.14,forward_split,investigate
BEN,2022-03-04,2022-03-07,28.19,22.1552,0.785924,0.5,57.18,forward_split,investigate
DOW,2022-03-04,2022-03-07,58.8,46.2503,0.786569,0.5,57.31,forward_split,investigate
HBAN,2022-03-04,2022-03-07,14.76,11.6122,0.786732,0.5,57.35,forward_split,investigate
PRU,2022-03-04,2022-03-07,106.41,83.7315,0.786876,0.5,57.38,forward_split,investigate
HYG,2022-03-04,2022-03-07,82.54,64.9663,0.787089,0.5,57.42,forward_split,investigate
BWA,2022-03-04,2022-03-07,36.93,29.0937,0.787806,0.5,57.56,forward_split,investigate
MAC,2022-03-04,2022-03-07,15.15,11.9392,0.788067,0.5,57.61,forward_split,investigate
CAKE,2022-03-04,2022-03-07,36.61,28.8897,0.78912,0.5,57.82,forward_split,investigate
BRF,2022-03-04,2022-03-07,17.5,13.8165,0.789516,0.5,57.9,forward_split,investigate
TPR,2022-03-04,2022-03-07,36.45,28.8006,0.790139,0.5,58.03,forward_split,investigate
CFG,2022-03-04,2022-03-07,48.17,38.0733,0.790395,0.5,58.08,forward_split,investigate
LH,2022-03-04,2022-03-07,269.14,212.7832,0.790604,0.5,58.12,forward_split,investigate
UPS,2022-03-04,2022-03-07,210.38,166.3471,0.790698,0.5,58.14,forward_split,investigate
ALLY,2022-03-04,2022-03-07,44.79,35.4422,0.791297,0.5,58.26,forward_split,investigate
NWL,2022-03-04,2022-03-07,23.15,18.3237,0.791521,0.5,58.3,forward_split,investigate
BXP,2022-03-04,2022-03-07,123.14,97.5595,0.792265,0.5,58.45,forward_split,investigate
EZA,2022-03-04,2022-03-07,52.06,41.305,0.793412,0.5,58.68,forward_split,investigate
HST,2022-03-04,2022-03-07,17.26,13.7012,0.79381,0.5,58.76,forward_split,investigate
PXH,2022-03-04,2022-03-07,20.52,16.2981,0.794253,0.5,58.85,forward_split,investigate
PFE,2022-03-04,2022-03-07,48.65,38.6851,0.795172,0.5,59.03,forward_split,investigate
KMI,2022-03-04,2022-03-07,18.84,15.024,0.797453,0.5,59.49,forward_split,investigate
TROW,2022-03-04,2022-03-07,138.8,110.6904,0.797481,0.5,59.5,forward_split,investigate
CCI,2022-03-04,2022-03-07,179.1,142.8505,0.797602,0.5,59.52,forward_split,investigate
MLCO,2022-03-04,2022-03-07,9.42,7.53,0.799363,0.5,59.87,forward_split,investigate
PLTK,2022-03-04,2022-03-07,17.7,14.1536,0.799641,0.5,59.93,forward_split,investigate
