ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
PRN-,10,10,,,,,,,,no_yahoo_history
PRNT,10,10,1.0,0.988465,0.988465,1.0,0.0031,0.0065,0.971377,
PRU,10,10,1.000044,0.820603,0.820567,1.0,0.0002,0.0005,0.786876,
PSA,10,10,1.000043,0.820492,0.820457,1.0,0.0008,0.0062,0.817609,
PSI,10,10,3.000114,0.98648,0.328814,3.0,0.001,0.0165,0.313987,iex_side_unstable
PSJ,10,10,3.0,0.979278,0.326426,3.0,0.0008,0.0202,0.326701,iex_side_unstable
PSK,10,10,0.99567,0.774382,0.77775,1.0,0.0048,0.0032,0.773696,
PSL,10,10,,,,,,,,no_overlap_with_yahoo
PSP,10,10,0.2,0.787018,3.935088,0.2,0.0009,0.0101,3.76771,iex_side_unstable
PSQ,10,10,0.2,0.840589,4.202944,0.2,0.0009,0.003,4.350286,
PSTG,10,10,,,,,,,,no_yahoo_history
PSX,10,10,1.000059,0.862723,0.862672,1.0,0.0004,0.0005,0.845222,
PTC,10,10,1.000091,1.000286,1.000194,1.0,0.0006,0.0018,0.970836,no_rebase_needed
PTF,10,10,3.0,0.995351,0.331784,3.0,0.001,0.0147,0.318131,iex_side_unstable
PTH,10,10,3.0,0.971753,0.323918,3.0,0.0001,0.005,0.31106,
PTLO,10,10,1.000193,1.000187,0.999993,1.0,0.0036,0.0044,1.022688,no_rebase_needed
PTON,10,10,1.0,1.0,1.0,1.0,0.0008,0.0018,0.957021,no_rebase_needed
PUI,10,10,,,,,,,,no_overlap_with_yahoo
PUW,10,0,,,,,,,,no_seam_window
PVH,10,10,1.0,0.992536,0.992536,1.0,0.0005,0.0017,0.841008,
PVI,10,10,1.0,0.910771,0.910771,1.0,0.0008,0.0001,0.910771,
PWB,10,10,1.0,0.986953,0.986953,1.0,0.0,0.0158,0.977176,iex_side_unstable
PWC,10,10,2.993667,0.986124,0.329403,3.0,0.0167,0.0167,0.323258,pit_side_unstable;iex_side_unstable
PWO,10,0,,,,,,,,no_seam_window
PWR,10,10,1.000045,0.993668,0.993623,1.0,0.0005,0.0012,0.984866,
PWV,10,10,1.0,0.908231,0.908231,1.0,0.0007,0.0167,0.899053,iex_side_unstable
PWZ,10,10,0.999814,0.881148,0.881312,1.0,0.0007,0.0018,0.879523,
PXD,10,10,,,,,,,,no_yahoo_history
PXE,10,10,1.0,0.889649,0.889649,1.0,0.0013,0.0056,0.887405,
PXF,10,10,1.0,0.857558,0.857558,1.0,0.0018,0.0084,0.83349,
PXH,10,10,1.000237,0.825662,0.825466,1.0,0.0024,0.0021,0.794253,
PXI,10,10,1.0,0.915431,0.915431,1.0,0.0003,0.0106,0.912137,iex_side_unstable
PXJ,10,10,0.2,0.900449,4.502246,0.2,0.0052,0.0067,4.845063,
PXN,10,0,,,,,,,,no_seam_window
PXQ,10,10,,,,,,,,no_overlap_with_yahoo
PYH,10,0,,,,,,,,no_seam_window
PYPL,10,10,1.0,0.994649,0.994648,1.0,0.0003,0.0004,0.931667,
PYZ,10,10,1.0,0.960309,0.960309,1.0,0.0,0.0195,0.923136,iex_side_unstable
PZA,10,10,1.000192,0.878219,0.87805,1.0,0.001,0.0017,0.876533,
PZI,10,0,,,,,,,,no_seam_window
PZT,10,10,1.0,0.883197,0.883197,1.0,0.002,0.0054,0.881453,
QCOM,10,10,0.996063,0.912633,0.91624,1.0,0.0043,0.0007,0.843304,
QID,10,10,0.200048,0.841552,4.206741,0.2,0.0016,0.0023,4.522808,
QLD,10,10,2.0,0.990762,0.495381,2.0,0.0006,0.007,0.459858,
QQQ,10,10,1.000177,0.972327,0.972155,1.0,0.0006,0.0007,0.936703,
QQQE,10,10,1.0,0.966509,0.966509,1.0,0.0001,0.009,0.921903,
